CompoundID,ChemOntID,ClassifiedResults
Q10034626-1,CHEMONTID:0000000,Kingdom: Organic compounds
Q10034626-1,CHEMONTID:0000002,Superclass: Organoheterocyclic compounds
Q10034626-1,CHEMONTID:0000294,Class: Benzimidazoles
Q10034626-1,CHEMONTID:0000330,Subclass: Phenylbenzimidazoles
Q10034626-1,CHEMONTID:0000330,Direct_parent: Phenylbenzimidazoles
Q10034626-1,CHEMONTID:0002327,alternative_parents: Phenylimidazoles
Q10034626-1,CHEMONTID:0004742,alternative_parents: Phenoxy compounds
Q10034626-1,CHEMONTID:0004113,alternative_parents: Methoxybenzenes
Q10034626-1,CHEMONTID:0000138,alternative_parents: Anisoles
Q10034626-1,CHEMONTID:0000128,alternative_parents: Alkyl aryl ethers
Q10034626-1,CHEMONTID:0002311,alternative_parents: N-substituted imidazoles
Q10034626-1,CHEMONTID:0004144,alternative_parents: Heteroaromatic compounds
Q10034626-1,CHEMONTID:0004139,alternative_parents: Azacyclic compounds
Q10034626-1,CHEMONTID:0001656,alternative_parents: Acetals
Q10034626-1,CHEMONTID:0004557,alternative_parents: Organopnictogen compounds
Q10034626-1,CHEMONTID:0000278,alternative_parents: Organonitrogen compounds
Q10034626-1,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
Q10034626-1,NotAvailable,mMlecular_framework: Aromatic heteropolycyclic compounds
Q10034626-1,NotAvailable,"Substituents: [""Phenylbenzimidazole"", ""2-phenylimidazole"", ""Phenoxy compound"", ""Anisole"", ""Phenol ether"", ""Methoxybenzene"", ""Alkyl aryl ether"", ""Monocyclic benzene moiety"", ""N-substituted imidazole"", ""Benzenoid"", ""Imidazole"", ""Azole"", ""Heteroaromatic compound"", ""Ether"", ""Acetal"", ""Azacycle"", ""Hydrocarbon derivative"", ""Organopnictogen compound"", ""Organooxygen compound"", ""Organonitrogen compound"", ""Organic nitrogen compound"", ""Organic oxygen compound"", ""Aromatic heteropolycyclic compound""]"
Q10034626-1,NotAvailable,External_descriptors: []
Q10034626-1,NotAvailable,"Ancestors: [""Acetals"", ""Alkyl aryl ethers"", ""Anisoles"", ""Azacyclic compounds"", ""Azoles"", ""Benzene and substituted derivatives"", ""Benzenoids"", ""Benzimidazoles"", ""Chemical entities"", ""Ethers"", ""Heteroaromatic compounds"", ""Hydrocarbon derivatives"", ""Imidazoles"", ""Methoxybenzenes"", ""N-substituted imidazoles"", ""Organic compounds"", ""Organic nitrogen compounds"", ""Organic oxygen compounds"", ""Organoheterocyclic compounds"", ""Organonitrogen compounds"", ""Organooxygen compounds"", ""Organopnictogen compounds"", ""Phenol ethers"", ""Phenoxy compounds"", ""Phenylbenzimidazoles"", ""Phenylimidazoles"", ""Substituted imidazoles""]"
Q10034626-1,NotAvailable,"predicted_chebi_terms: [""imidazoles (CHEBI:24780)"", ""benzenes (CHEBI:22712)"", ""methoxybenzene (CHEBI:51683)"", ""aromatic ether (CHEBI:35618)"", ""organic aromatic compound (CHEBI:33659)"", ""organonitrogen heterocyclic compound (CHEBI:38101)"", ""acetal (CHEBI:59769)"", ""pnictogen molecular entity (CHEBI:33302)"", ""organic molecular entity (CHEBI:50860)"", ""organonitrogen compound (CHEBI:35352)"", ""organic molecule (CHEBI:72695)"", ""benzimidazoles (CHEBI:22715)"", ""chemical entity (CHEBI:24431)"", ""organic heterocyclic compound (CHEBI:24532)"", ""azole (CHEBI:68452)"", ""benzenoid aromatic compound (CHEBI:33836)"", ""oxygen molecular entity (CHEBI:25806)"", ""organooxygen compound (CHEBI:36963)"", ""ether (CHEBI:25698)"", ""nitrogen molecular entity (CHEBI:51143)""]"
Q10034626-1,NotAvailable,predicted_lipidmaps_terms: []
Q10034626-1,NotAvailable,Classification_version: 2.1
