CompoundID,ChemOntID,ClassifiedResults
Q10034622-1,CHEMONTID:0000000,Kingdom: Organic compounds
Q10034622-1,CHEMONTID:0000004,Superclass: Organosulfur compounds
Q10034622-1,CHEMONTID:0001232,Class: Isothioureas
Q10034622-1,CHEMONTID:0001232,Direct_parent: Isothioureas
Q10034622-1,CHEMONTID:0003260,alternative_parents: Sulfenyl compounds
Q10034622-1,CHEMONTID:0003152,alternative_parents: Carboximidamides
Q10034622-1,CHEMONTID:0004557,alternative_parents: Organopnictogen compounds
Q10034622-1,CHEMONTID:0000117,alternative_parents: Imines
Q10034622-1,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
Q10034622-1,NotAvailable,mMlecular_framework: Aliphatic acyclic compounds
Q10034622-1,NotAvailable,"Substituents: [""Isothiourea"", ""Sulfenyl compound"", ""Carboximidamide"", ""Organic nitrogen compound"", ""Organopnictogen compound"", ""Hydrocarbon derivative"", ""Organonitrogen compound"", ""Imine"", ""Aliphatic acyclic compound""]"
Q10034622-1,NotAvailable,External_descriptors: []
Q10034622-1,NotAvailable,"Ancestors: [""Carboximidamides"", ""Chemical entities"", ""Hydrocarbon derivatives"", ""Imines"", ""Isothioureas"", ""Organic compounds"", ""Organic nitrogen compounds"", ""Organonitrogen compounds"", ""Organopnictogen compounds"", ""Organosulfur compounds"", ""Sulfenyl compounds""]"
Q10034622-1,NotAvailable,"predicted_chebi_terms: [""organosulfur compound (CHEBI:33261)"", ""organonitrogen compound (CHEBI:35352)"", ""pnictogen molecular entity (CHEBI:33302)"", ""organic molecular entity (CHEBI:50860)"", ""imine (CHEBI:24783)"", ""organic molecule (CHEBI:72695)"", ""imidothiocarbamic ester (CHEBI:38914)"", ""chemical entity (CHEBI:24431)"", ""nitrogen molecular entity (CHEBI:51143)""]"
Q10034622-1,NotAvailable,predicted_lipidmaps_terms: []
Q10034622-1,NotAvailable,Classification_version: 2.1
Q10034622-2,CHEMONTID:0000000,Kingdom: Organic compounds
Q10034622-2,CHEMONTID:0002448,Superclass: Benzenoids
Q10034622-2,CHEMONTID:0002279,Class: Benzene and substituted derivatives
Q10034622-2,CHEMONTID:0002363,Subclass: Phenylacetamides
Q10034622-2,CHEMONTID:0002363,Direct_parent: Phenylacetamides
Q10034622-2,CHEMONTID:0002410,alternative_parents: Piperazine carboxylic acids
Q10034622-2,CHEMONTID:0002564,alternative_parents: Dichlorobenzenes
Q10034622-2,CHEMONTID:0003449,alternative_parents: N-alkylpyrrolidines
Q10034622-2,CHEMONTID:0001030,alternative_parents: Aryl chlorides
Q10034622-2,CHEMONTID:0001664,alternative_parents: Tertiary carboxylic acid amides
Q10034622-2,CHEMONTID:0004787,alternative_parents: Methylcarbamates
Q10034622-2,CHEMONTID:0002239,alternative_parents: Trialkylamines
Q10034622-2,CHEMONTID:0004139,alternative_parents: Azacyclic compounds
Q10034622-2,CHEMONTID:0001516,alternative_parents: Organochlorides
Q10034622-2,CHEMONTID:0003940,alternative_parents: Organic oxides
Q10034622-2,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
Q10034622-2,CHEMONTID:0001831,alternative_parents: Carbonyl compounds
Q10034622-2,NotAvailable,mMlecular_framework: Aromatic heteromonocyclic compounds
Q10034622-2,NotAvailable,"Substituents: [""Phenylacetamide"", ""Piperazine-1-carboxylic acid"", ""1,2-dichlorobenzene"", ""Chlorobenzene"", ""Halobenzene"", ""Aryl chloride"", ""Aryl halide"", ""N-alkylpyrrolidine"", ""1,4-diazinane"", ""Piperazine"", ""Carbamic acid ester"", ""Methylcarbamate"", ""Tertiary carboxylic acid amide"", ""Pyrrolidine"", ""Carboxamide group"", ""Tertiary aliphatic amine"", ""Amino acid or derivatives"", ""Tertiary amine"", ""Carboxylic acid derivative"", ""Organoheterocyclic compound"", ""Azacycle"", ""Organochloride"", ""Organohalogen compound"", ""Hydrocarbon derivative"", ""Organic oxygen compound"", ""Amine"", ""Organic oxide"", ""Carbonyl group"", ""Organonitrogen compound"", ""Organooxygen compound"", ""Organic nitrogen compound"", ""Aromatic heteromonocyclic compound""]"
Q10034622-2,NotAvailable,External_descriptors: []
Q10034622-2,NotAvailable,"Ancestors: [""Amines"", ""Amino acids and derivatives"", ""Amino acids, peptides, and analogues"", ""Aryl chlorides"", ""Aryl halides"", ""Azacyclic compounds"", ""Benzene and substituted derivatives"", ""Benzenoids"", ""Carbamate esters"", ""Carbamic acids and derivatives"", ""Carbonyl compounds"", ""Carboxylic acid amides"", ""Carboxylic acid derivatives"", ""Carboxylic acids and derivatives"", ""Chemical entities"", ""Chlorobenzenes"", ""Diazinanes"", ""Dichlorobenzenes"", ""Halobenzenes"", ""Hydrocarbon derivatives"", ""Methylcarbamates"", ""N-alkylpyrrolidines"", ""Organic acids and derivatives"", ""Organic compounds"", ""Organic nitrogen compounds"", ""Organic oxides"", ""Organic oxygen compounds"", ""Organochlorides"", ""Organohalogen compounds"", ""Organoheterocyclic compounds"", ""Organonitrogen compounds"", ""Organooxygen compounds"", ""Organopnictogen compounds"", ""Phenylacetamides"", ""Piperazine carboxylic acids"", ""Piperazine carboxylic acids and derivatives"", ""Piperazines"", ""Pyrrolidines"", ""Tertiary amines"", ""Tertiary carboxylic acid amides"", ""Trialkylamines""]"
