CompoundID,ChemOntID,ClassifiedResults
Q10034625-1,CHEMONTID:0000000,Kingdom: Organic compounds
Q10034625-1,CHEMONTID:0000002,Superclass: Organoheterocyclic compounds
Q10034625-1,CHEMONTID:0001346,Class: Diazines
Q10034625-1,CHEMONTID:0000075,Subclass: Pyrimidines and pyrimidine derivatives
Q10034625-1,CHEMONTID:0000291,Intermediate_nodes: Pyrimidones
Q10034625-1,CHEMONTID:0000292,Direct_parent: Barbituric acid derivatives
Q10034625-1,CHEMONTID:0002023,alternative_parents: N-acyl ureas
Q10034625-1,CHEMONTID:0002389,alternative_parents: Diazinanes
Q10034625-1,CHEMONTID:0002279,alternative_parents: Benzene and substituted derivatives
Q10034625-1,CHEMONTID:0003890,alternative_parents: Vinylogous amides
Q10034625-1,CHEMONTID:0003033,alternative_parents: Dicarboximides
Q10034625-1,CHEMONTID:0000347,alternative_parents: Amino acids and derivatives
Q10034625-1,CHEMONTID:0000470,alternative_parents: Enamines
Q10034625-1,CHEMONTID:0004139,alternative_parents: Azacyclic compounds
Q10034625-1,CHEMONTID:0004218,alternative_parents: Allylamines
Q10034625-1,CHEMONTID:0004557,alternative_parents: Organopnictogen compounds
Q10034625-1,CHEMONTID:0003940,alternative_parents: Organic oxides
Q10034625-1,CHEMONTID:0000469,alternative_parents: Monoalkylamines
Q10034625-1,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
Q10034625-1,CHEMONTID:0001831,alternative_parents: Carbonyl compounds
Q10034625-1,NotAvailable,mMlecular_framework: Aromatic heteromonocyclic compounds
Q10034625-1,NotAvailable,"Substituents: [""Barbiturate"", ""N-acyl urea"", ""Ureide"", ""Monocyclic benzene moiety"", ""1,3-diazinane"", ""Benzenoid"", ""Dicarboximide"", ""Vinylogous amide"", ""Amino acid or derivatives"", ""Carbonic acid derivative"", ""Urea"", ""Carboxylic acid derivative"", ""Allylamine"", ""Enamine"", ""Azacycle"", ""Hydrocarbon derivative"", ""Primary aliphatic amine"", ""Organic nitrogen compound"", ""Organic oxide"", ""Amine"", ""Carbonyl group"", ""Organopnictogen compound"", ""Organic oxygen compound"", ""Organonitrogen compound"", ""Organooxygen compound"", ""Primary amine"", ""Aromatic heteromonocyclic compound""]"
Q10034625-1,NotAvailable,External_descriptors: []
